lead_003,Jon,1960-02-27,true,09232332,jon@gmail.com,100 Tran Phu
lead_005,Jon,1960-02-27,true,09232332,jon@gmail.com,100 Tran Phu
lead_009,Jon,1960-02-27,true,09232332,jon@gmail.com,100 Tran Phu
lead_011,Quynh,2001-03-08,true,0917988888,baby32@gmail.com,7328 Dheud
lead_012,Quynh,2001-03-08,true,0913634959,babycute8383@gmail.com,72 Hai Thuong
lead_013,Dang,2001-04-17,true,0913634959,dang@gmail.com,72 Damsen
lead_014,Thien,2001-03-08,true,0913634959,thien@gmail.com,72 Hai Thuong
lead_015,Quynh,2001-03-08,true,0913634959,babye732@gmail.com,72 Dheifh
lead_016,Quynh,2001-03-08,true,0913634959,babycute8383@gmail.com,72 Heu
lead_017,Deu,2001-03-08,true,0913634959,bay@gmail.com,33 Dei
